0.032 0.044 0.03 0.02 0.024
0.004 0.026 0.026 0.04 0.036
0.028 0.018 0.038 0.056 0.04
0.042 0.064 0.042 0.012 0.004
0 0.002 0 0 0
0 0 0 0 0
0 0.002 0.01 0.062 0.068
0.032 0 0.002 0 0
0 0 0.012 0.026 0.052
0.044 0.024 0.002 0.004 0
0.012 0.038 0.04 0.034 0.028
0.004 0.02 0.026 0.052 0.05
0.016 0.028 0.054 0.038 0.052
0.054 0.042 0.044 0.02 0.006
0.002 0 0 0 0
0 0 0 0 0
0 0 0 0.014 0.01
0.032 0.056 0.028 0.008 0.004
0.002 0 0.006 0.012 0.03
0.032 0.064 0.034 0.01 0.008
0.012 0.02 0.03 0.048 0.036
0.02 0.022 0.022 0.042 0.028
0.03 0.034 0.06 0.048 0.052
0.058 0.046 0.024 0.012 0.006
0 0 0 0 0
0.132 0.028 0 0 0
0 0 0 0 0.004
0.006 0.022 0.044 0.032 0.024
0.006 0 0 0.006 0.008
0.03 0.038 0.062 0.034 0.006
0.004 0.004 0.026 0.042 0.052
0.024 0.022 0.04 0.052 0.048
0.052 0.034 0.05 0.034 0.026
0.006 0.002 0 0 0
0 0 0 0 0
0.002 0.01 0.052 0.07 0.022
0 0 0 0 0
0 0.006 0.02 0.04 0.046
0.044 0.018 0.006 0 0.004
0.01 0.028 0.054 0.048 0.022
0.014 0.006 0.016 0.034 0.052
0.024 0.028 0.034 0.044 0.042
0.054 0.034 0.052 0.034 0.016
0.012 0.002 0 0 0
0 0 0 0 0
0 0 0.002 0.01 0.052
0.046 0.026 0.008 0.002 0
0 0 0.002 0.008 0.036
0.04 0.036 0.032 0.002 0.002
0.002 0.02 0.024 0.032 0.048
0.024 0.012 0.022 0.04 0.056
0.03 0.026 0.032 0.046 0.07
0.056 0.048 0.06 0.036 0.01
0.002 0 0 0 0
0 0 0 0 0
0 0 0 0 0.006
0.022 0.054 0.042 0.032 0.004
0 0 0 0.002 0.012
0.04 0.04 0.04 0.022 0.006
0.008 0.004 0.028 0.036 0.05
0.034 0.012 0.02 0.028 0.05
0.048 0.058 0.02 0.038 0.05
0.07 0.056 0.026 0.028 0.012
0.002 0 0 0 0
0 0.132 0.04 0 0
0 0 0 0 0
0.004 0.006 0.032 0.05 0.06
0.036 0.004 0.006 0 0
0.004 0.018 0.042 0.032 0.026
0.008 0.008 0.008 0.02 0.046
0.042 0.032 0.012 0.036 0.03
0.054 0.034 0.048 0.054 0.05
0.02 0.004 0.002 0 0
0 0 0 0 0
0 0.002 0.01 0.064 0.074
0.046 0 0 0 0
0 0 0.01 0.018 0.028
0.052 0.03 0.016 0.01 0
0.006 0.008 0.038 0.04 0.028
0.022 0.012 0.004 0.014 0.036
0.026 0.03 0.02 0.022 0.034
0.076 0.052 0.05 0.054 0.042
0.018 0.004 0.004 0 0
0 0 0 0 0
0 0 0 0.004 0.01
0.04 0.072 0.048 0.014 0.002
0 0 0 0.006 0.026
0.016 0.05 0.05 0.024 0.008
0 0.006 0.01 0.038 0.05
0.024 0.012 0.004 0.014 0.04
0.052 0.036 0.05 0.022 0.048
0.032 0.034 0.048 0.044 0.036
0.026 0.002 0.002 0 0
0 0 0 0 0
0 0 0 0 0
0.004 0.018 0.036 0.052 0.036
0.008 0.002 0 0 0.004
0.004 0.018 0.046 0.044 0.036
0.01 0 0.01 0.022 0.056
0.042 0.034 0.006 0.018 0.028
0.03 0.04 0.036 0.038 0.064
0.048 0.05 0.052 0.062 0.03
0.014 0 0.002 0 0
0 0 0.14 0.036 0
0 0 0 0 0
0 0 0.01 0.04 0.048
0.05 0.03 0.02 0.002 0
0.004 0.01 0.024 0.04 0.034
0.03 0.01 0.012 0.006 0.02
0.044 0.042 0.028 0.024 0.028
0.038 0.034 0.04 0.026 0.064
0.04 0.018 0.006 0.002 0
0 0 0 0 0
0 0 0 0.01 0.034
0.088 0.024 0.006 0 0
0 0 0 0.006 0.024
0.042 0.056 0.042 0.022 0.004
0.004 0.002 0.012 0.022 0.04
0.048 0.018 0.006 0.008 0.026
0.05 0.046 0.06 0.014 0.028
0.04 0.046 0.038 0.034 0.034
0.042 0.014 0.008 0.002 0
0 0 0 0 0
0 0 0 0 0.006
0.026 0.056 0.06 0.04 0.012
0 0 0 0.002 0.008
0.016 0.04 0.046 0.06 0.026
0.012 0.002 0.012 0.014 0.032
0.032 0.046 0.016 0.01 0.018
0.028 0.032 0.036 0.03 0.012
0.03 0.036 0.04 0.064 0.048
0.032 0.016 0.004 0 0
0 0 0 0 0
0 0 0 0 0
0 0.004 0.022 0.038 0.048
0.028 0.012 0.002 0 0
0.002 0.02 0.038 0.07 0.048
0.03 0.018 0.01 0.006 0.018
0.046 0.02 0.018 0.016 0.012
0.036 0.042 0.042 0.03 0.036
0.048 0.046 0.056 0.058 0.046
0.022 0.01 0.002 0 0
0 0 0 0.158 0.038
0 0 0 0 0
0 0 0 0.006 0.026
0.052 0.058 0.034 0.014 0
0 0.002 0.01 0.028 0.054
0.036 0.022 0.012 0.008 0.016
0.03 0.04 0.034 0.026 0.024
0.008 0.038 0.046 0.022 0.036
0.046 0.038 0.026 0.012 0
0 0 0 0 0
0 0 0 0 0.024
0.082 0.084 0.026 0.002 0
0 0 0 0 0.002
0.018 0.032 0.052 0.034 0.016
0.008 0 0.006 0.006 0.032
0.04 0.062 0.028 0.01 0.012
0.016 0.036 0.044 0.036 0.016
0.028 0.022 0.054 0.028 0.048
0.034 0.038 0.014 0.006 0.004
0 0 0 0 0
0 0 0 0 0
0 0.016 0.034 0.08 0.04
0.016 0 0 0 0
0.004 0.01 0.044 0.036 0.026
0.03 0.006 0.002 0.006 0.016
0.048 0.046 0.04 0.024 0.016
0.01 0.03 0.032 0.034 0.034
0.044 0.042 0.036 0.058 0.038
0.044 0.028 0.014 0.014 0.002
0 0 0 0 0
0 0 0 0 0
0 0 0.004 0.032 0.042
0.072 0.022 0.004 0.006 0
0 0.006 0.016 0.034 0.04
0.048 0.038 0.006 0 0.006
0.01 0.044 0.062 0.03 0.01
0.024 0.026 0.034 0.042 0.034
0.048 0.044 0.046 0.04 0.052
0.044 0.028 0.004 0.002 0
0 0 0 0 0.172
0.024 0 0 0 0
0 0 0 0.002 0.006
0.036 0.048 0.036 0.03 0.006
0 0 0 0.012 0.038
0.042 0.058 0.018 0 0.01
0.01 0.034 0.024 0.032 0.03
